   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
   0,         0,           0,          0,            0,              0,             2,             0,               0,              0,          0,            0,           0
   1,         0,           0,          1,            0,              0,             3,             0,               0,              0,          0,            0,           0
   2,         2,           1,          4,            1,              1,             2,             1,               0,              0,          1,            0,           0
   3,         4,           2,          5,            3,              2,             5,             3,               2,              3,          3,            2,           2
   4,         8,           2,          6,            7,              5,             8,             4,               2,              3,          6,            2,           4
   5,        12,           4,         10,           12,              6,            10,             5,               2,              4,         10,            2,           6
   6,        16,           4,         11,           16,              7,            10,             6,               2,              5,         15,            2,           9
   7,        14,           4,         10,           21,              9,            13,             7,               2,              4,         21,            2,          12
   8,        18,           5,         12,           27,             14,            19,             8,               2,              6,         28,            2,          14
   9,        22,           5,         15,           35,             17,            22,             9,               2,              5,         36,            2,          17
  10,        26,           6,         18,           41,             20,            25,            10,               2,              5,         45,            2,          22
  11,        31,           7,         19,           49,             23,            30,            11,               2,              7,         55,            2,          26
  12,        34,           8,         21,           55,             27,            35,            13,               3,              9,         66,            3,          30
  13,        39,           8,         25,           63,             30,            38,            14,               3,              8,         78,            3,          35
  14,        47,           8,         27,           69,             34,            40,            15,               3,              9,         91,            3,          41
  15,        44,           9,         26,           76,             37,            43,            16,               3,              9,        105,            3,          46
  16,        49,           9,         27,           83,             42,            50,            17,               3,              9,        120,            3,          54
  17,        54,          11,         35,           94,             46,            58,            19,               4,             12,        136,            4,          61
  18,        60,          10,         35,          102,             51,            60,            20,               4,             10,        153,            4,          67
  19,        67,          11,         38,          112,             56,            65,            21,               4,             11,        171,            4,          75
  20,        71,          12,         42,          120,             62,            72,            23,               5,             14,        190,            5,          83
  21,        77,          14,         46,          130,             66,            77,            25,               6,             13,        210,            6,          94
  22,        82,          14,         49,          138,             69,            80,            26,               6,             15,        231,            6,         101
  23,        86,          13,         49,          148,             74,            89,            27,               6,             15,        253,            6,         113
  24,        91,          15,         56,          156,             78,            95,            28,               6,             17,        276,            6,         125
  25,        94,          16,         55,          166,             83,           100,            29,               6,             16,        300,            6,         135
  26,       101,          16,         60,          174,             87,           104,            31,               7,             19,        325,            7,         145
  27,       106,          16,         61,          184,             91,           108,            33,               8,             19,        351,            8,         155
  28,       116,          17,         67,          192,             96,           113,            36,              10,             21,        378,           10,         167
  29,       122,          17,         68,          202,            101,           119,            37,              10,             23,        406,           10,         181
  30,       129,          19,         75,          210,            107,           124,            38,              10,             23,        435,           10,         180
  31,       128,          19,         70,          220,            111,           124,            40,              11,             23,        465,           11,         199
  32,       138,          19,         73,          230,            116,           127,            41,              11,             24,        496,           11,         203
  33,       141,          20,         75,          243,            121,           132,            42,              11,             24,        528,           11,         216
  34,       147,          21,         77,          254,            130,           138,            43,              11,             24,        561,           11,         228
  35,       148,          22,         78,          266,            132,           144,            45,              12,             26,        595,           12,         245
  36,       155,          22,         88,          278,            141,           162,            46,              12,             26,        630,           12,         272
  37,       160,          23,         88,          290,            144,           162,            47,              12,             27,        666,           12,         288
  38,       166,          22,         92,          298,            149,           173,            48,              12,             28,        703,           12,         304
  39,       169,          24,         93,          311,            156,           170,            49,              12,             28,        741,           12,         322
  40,       185,          24,        102,          321,            158,           181,            51,              13,             27,        780,           13,         313
  41,       188,          25,         97,          333,            165,           178,            52,              13,             29,        820,           13,         329
  42,       193,          25,         99,          342,            172,           182,            53,              13,             29,        861,           13,         344
  43,       197,          27,        102,          354,            179,           190,            54,              13,             29,        903,           13,         360
  44,       203,          28,        105,          364,            184,           195,            55,              13,             29,        946,           13,         375
  45,       208,          27,        105,          376,            189,           200,            56,              13,             30,        990,           13,         394
  46,       213,          28,        108,          389,            196,           212,            57,              13,             30,       1035,           13,         413
  47,       222,          28,        115,          399,            200,           216,            59,              14,             32,       1081,           14,         428
  48,       229,          30,        117,          410,            207,           221,            61,              15,             32,       1128,           15,         446
  49,       233,          30,        118,          424,            211,           225,            62,              15,             34,       1176,           15,         467
  50,       242,          30,        121,          434,            220,           235,            63,              15,             35,       1225,           15,         485
  51,       245,          32,        123,          446,            222,           236,            65,              16,             35,       1275,           16,         505
  52,       259,          33,        130,          459,            228,           243,            67,              17,             35,       1326,           17,         523
  53,       261,          35,        134,          470,            234,           248,            70,              19,             37,       1378,           19,         546
  54,       265,          32,        133,          480,            239,           257,            73,              21,             41,       1431,           21,         562
  55,       273,          34,        136,          490,            245,           260,            74,              21,             43,       1485,           21,         608
  56,       275,          35,        149,          503,            252,           272,            75,              21,             41,       1540,           21,         645
  57,       285,          36,        154,          517,            255,           288,            76,              21,             43,       1596,           21,         677
  58,       295,          37,        159,          524,            262,           288,            77,              21,             45,       1653,           21,         680
  59,       304,          36,        159,          535,            268,           283,            78,              21,             42,       1711,           21,         670
  60,       312,          38,        157,          547,            274,           288,            79,              21,             43,       1770,           21,         698
  61,       313,          36,        154,          560,            278,           310,            80,              21,             45,       1830,           21,         721
  62,       318,          37,        160,          570,            284,           301,            81,              21,             44,       1891,           21,         739
  63,       323,          38,        159,          582,            289,           313,            82,              21,             44,       1953,           21,         768
  64,       328,          39,        163,          592,            291,           311,            84,              22,             46,       2016,           22,         790
  65,       330,          41,        168,          606,            298,           316,            85,              22,             47,       2080,           22,         814
  66,       352,          42,        174,          621,            311,           328,            86,              22,             46,       2145,           22,         834
  67,       346,          42,        171,          635,            316,           331,            87,              22,             47,       2211,           22,         864
  68,       354,          43,        184,          649,            324,           345,            89,              23,             48,       2278,           23,         903
  69,       371,          41,        186,          664,            329,           348,            92,              25,             51,       2346,           25,         916
  70,       378,          41,        185,          676,            337,           372,            96,              28,             55,       2415,           28,         977
  71,       376,          45,        205,          690,            342,           373,           100,              31,             58,       2485,           31,         978
  72,       382,          46,        189,          703,            351,           371,           101,              31,             56,       2556,           31,        1003
  73,       389,          46,        191,          717,            354,           372,           102,              31,             57,       2628,           31,        1029
  74,       394,          45,        193,          732,            363,           381,           103,              31,             59,       2701,           31,        1055
  75,       397,          45,        194,          743,            370,           390,           104,              31,             58,       2775,           31,        1089
  76,       413,          46,        202,          758,            377,           398,           105,              31,             59,       2850,           31,        1118
  77,       409,          48,        200,          771,            382,           401,           106,              31,             60,       2926,           31,        1142
  78,       416,          49,        205,          784,            390,           422,           108,              32,             61,       3003,           32,        1177
  79,       427,          50,        211,          800,            397,           419,           111,              34,             63,       3081,           34,        1207
  80,       437,          50,        214,          814,            404,           425,           112,              34,             63,       3160,           34,        1236
  81,       445,          48,        215,          826,            407,           432,           113,              34,             62,       3240,           34,        1267
  82,       451,          52,        221,          838,            412,           437,           114,              34,             63,       3321,           34,        1290
  83,       462,          52,        226,          856,            424,           449,           116,              35,             64,       3403,           35,        1327
  84,       468,          53,        229,          867,            427,           477,           117,              35,             67,       3486,           35,        1364
  85,       484,          54,        237,          881,            432,           459,           120,              37,             66,       3570,           37,        1402
  86,       486,          53,        236,          894,            440,           471,           124,              40,             72,       3655,           40,        1420
  87,       494,          57,        242,          908,            447,           474,           125,              40,             71,       3741,           40,        1460
  88,       490,          55,        238,          920,            454,           478,           126,              40,             72,       3828,           40,        1511
  89,       503,          58,        268,          932,            457,           488,           127,              40,             72,       3916,           40,        1527
  90,       507,          58,        247,          947,            468,           495,           128,              40,             73,       4005,           40,        1568
  91,       519,          58,        253,          963,            474,           509,           130,              41,             73,       4095,           41,        1601
  92,       530,          59,        260,          975,            483,           521,           131,              41,             74,       4186,           41,        1627
  93,       523,          56,        251,          990,            487,           515,           132,              41,             76,       4278,           41,        1671
  94,       541,          60,        262,         1003,            496,           530,           133,              41,             75,       4371,           41,        1700
  95,       551,          62,        271,         1019,            505,           530,           134,              41,             74,       4465,           41,        1734
  96,       553,          60,        269,         1029,            505,           533,           135,              41,             77,       4560,           41,        1767
  97,       555,          58,        271,         1039,            512,           540,           139,              44,             78,       4656,           44,        1814
  98,       564,          63,        275,         1053,            518,           555,           144,              48,             82,       4753,           48,        1855
  99,       578,          62,        277,         1073,            532,           565,           145,              48,             82,       4851,           48,        1888
 100,       583,          62,        281,         1084,            536,           564,           146,              48,             83,       4950,           48,        1918
 101,       588,          63,        283,         1101,            539,           573,           147,              48,             83,       5050,           48,        1954
 102,       595,          64,        288,         1116,            552,           586,           148,              48,             84,       5151,           48,        1996
 103,       605,          65,        296,         1127,            556,           591,           149,              48,             86,       5253,           48,        2039
 104,       616,          65,        298,         1141,            568,           599,           150,              48,             84,       5356,           48,        2079
 105,       625,          63,        299,         1155,            570,           598,           151,              48,             85,       5460,           48,        2128
 106,       626,          62,        298,         1166,            580,           610,           152,              48,             86,       5565,           48,        2148
 107,       632,          69,        305,         1182,            586,           616,           154,              49,             87,       5671,           49,        2193
 108,       641,          71,        311,         1194,            593,           627,           156,              50,             88,       5778,           50,        2235
 109,       650,          72,        335,         1208,            599,           627,           160,              53,             91,       5886,           53,        2278
 110,       644,          70,        311,         1220,            606,           648,           163,              55,            102,       5995,           55,        2427
 111,       666,          73,        336,         1234,            613,           674,           164,              55,            100,       6105,           55,        2545
 112,       669,          73,        348,         1247,            621,           693,           165,              55,             99,       6216,           55,        2578
 113,       675,          73,        352,         1263,            623,           702,           167,              56,            103,       6328,           56,        2623
 114,       667,          72,        342,         1275,            630,           706,           169,              57,            105,       6441,           57,        2671
 115,       685,          74,        355,         1288,            640,           719,           173,              60,            108,       6555,           60,        2712
 116,       700,          75,        363,         1303,            643,           724,           174,              60,            108,       6670,           60,        2763
 117,       704,          76,        365,         1316,            652,           733,           175,              60,            109,       6786,           60,        2820
 118,       723,          76,        374,         1328,            657,           731,           176,              60,            110,       6903,           60,        2861
 119,       728,          74,        371,         1342,            668,           747,           179,              62,            110,       7021,           62,        2913
 120,       736,          74,        380,         1354,            670,           752,           180,              62,            112,       7140,           62,        2962
 121,       747,          76,        385,         1369,            680,           766,           181,              62,            113,       7260,           62,        3013
 122,       761,          79,        395,         1384,            684,           767,           182,              62,            112,       7381,           62,        3046
 123,       750,          74,        381,         1396,            689,           777,           183,              62,            112,       7503,           62,        3093
 124,       756,          73,        381,         1406,            697,           781,           184,              62,            113,       7626,           62,        3155
 125,       769,          80,        396,         1420,            704,           792,           185,              62,            113,       7750,           62,        3145
 126,       775,          80,        398,         1432,            710,           836,           186,              62,            115,       7875,           62,        3161
 127,       782,          76,        383,         1450,            715,           777,           187,              62,            111,       8001,           62,        3186
 128,       796,          77,        388,         1459,            723,           783,           188,              62,            112,       8128,           62,        3251
 129,       788,          77,        385,         1474,            730,           795,           191,              64,            113,       8256,           64,        3299
 130,       799,          79,        394,         1490,            742,           811,           192,              64,            113,       8385,           64,        3344
 131,       808,          84,        399,         1511,            747,           817,           193,              64,            114,       8515,           64,        3332
 132,       816,          84,        392,         1526,            754,           792,           194,              64,            110,       8646,           64,        3323
 133,       835,          81,        402,         1539,            764,           796,           196,              65,            113,       8778,           65,        3378
 134,       838,          80,        397,         1553,            772,           807,           197,              65,            112,       8911,           65,        3463
 135,       853,          81,        402,         1570,            777,           811,           198,              65,            116,       9045,           65,        3505
 136,       861,          81,        405,         1587,            791,           825,           199,              65,            114,       9180,           65,        3524
 137,       856,          88,        411,         1601,            793,           832,           200,              65,            116,       9316,           65,        3610
 138,       862,          86,        408,         1621,            807,           857,           201,              65,            113,       9453,           65,        3637
 139,       884,          87,        417,         1637,            815,           856,           202,              65,            114,       9591,           65,        3717
 140,       900,          91,        431,         1649,            821,           859,           203,              65,            113,       9730,           65,        3763
 141,       900,          90,        428,         1665,            824,           862,           204,              65,            118,       9870,           65,        3816
 142,       909,          93,        433,         1680,            834,           910,           205,              65,            132,      10011,           65,        3854
 143,       898,          88,        426,         1695,            841,           879,           208,              67,            118,      10153,           67,        3901
 144,       912,          89,        430,         1710,            847,           889,           209,              67,            118,      10296,           67,        3989
 145,       914,          90,        432,         1728,            859,           904,           210,              67,            119,      10440,           67,        4000
 146,       928,          90,        437,         1742,            869,           905,           212,              68,            121,      10585,           68,        4079
 147,       932,          96,        443,         1760,            873,           910,           213,              68,            121,      10731,           68,        4139
 148,       944,          96,        446,         1772,            880,           917,           214,              68,            122,      10878,           68,        4204
 149,       949,          93,        447,         1785,            885,           926,           215,              68,            122,      11026,           68,        4250
 150,       961,          93,        451,         1803,            897,           936,           217,              69,            122,      11175,           69,        4319
 151,       971,          94,        456,         1822,            904,           942,           219,              70,            124,      11325,           70,        4368
 152,       978,          93,        460,         1837,            917,           953,           220,              70,            125,      11476,           70,        4452
 153,       973,          97,        458,         1852,            917,           959,           221,              70,            126,      11628,           70,        4481
 154,       983,          97,        463,         1869,            930,           972,           222,              70,            125,      11781,           70,        4548
 155,       992,          98,        469,         1882,            933,           976,           223,              70,            126,      11935,           70,        4596
 156,       995,          99,        471,         1900,            941,           987,           224,              70,            125,      12090,           70,        4658
 157,      1023,          99,        479,         1917,            951,           993,           225,              70,            127,      12246,           70,        4714
 158,      1029,          99,        486,         1930,            964,          1001,           226,              70,            127,      12403,           70,        4756
 159,      1020,         100,        481,         1943,            963,          1009,           228,              71,            128,      12561,           71,        4846
 160,      1031,          98,        486,         1961,            970,          1041,           229,              71,            128,      12720,           71,        4902
 161,      1047,          98,        490,         1979,            981,          1024,           230,              71,            128,      12880,           71,        4958
 162,      1041,         101,        489,         1993,            985,          1034,           232,              72,            129,      13041,           72,        4997
 163,      1058,         104,        496,         2007,            997,          1073,           233,              72,            133,      13203,           72,        5072
 164,      1071,         103,        501,         2025,           1009,          1050,           234,              72,            131,      13366,           72,        5119
 165,      1065,         100,        502,         2039,           1014,          1061,           236,              73,            132,      13530,           73,        5202
 166,      1072,         100,        499,         2052,           1021,          1066,           239,              75,            134,      13695,           75,        5259
 167,      1098,         109,        520,         2067,           1026,          1073,           243,              78,            138,      13861,           78,        5334
 168,      1115,         107,        523,         2082,           1035,          1081,           248,              82,            140,      14028,           82,        5393
 169,      1115,         106,        524,         2101,           1040,          1091,           249,              82,            142,      14196,           82,        5476
 170,      1126,         107,        528,         2115,           1049,          1095,           250,              82,            143,      14365,           82,        5588
 171,      1126,         106,        529,         2130,           1058,          1105,           251,              82,            143,      14535,           82,        5590
 172,      1133,         105,        528,         2145,           1066,          1114,           252,              82,            144,      14706,           82,        5620
 173,      1131,         109,        528,         2163,           1067,          1121,           253,              82,            143,      14878,           82,        5709
 174,      1144,         106,        532,         2177,           1080,          1128,           254,              82,            141,      15051,           82,        5849
 175,      1163,         112,        545,         2192,           1088,          1142,           256,              83,            144,      15225,           83,        5921
 176,      1170,         113,        585,         2208,           1093,          1219,           257,              83,            155,      15400,           83,        6146
 177,      1155,         110,        563,         2220,           1102,          1194,           258,              83,            153,      15576,           83,        6235
 178,      1164,         110,        563,         2236,           1106,          1207,           260,              84,            154,      15753,           84,        6333
 179,      1187,         113,        581,         2252,           1119,          1224,           261,              84,            155,      15931,           84,        6356
 180,      1186,         115,        571,         2269,           1130,          1194,           262,              84,            148,      16110,           84,        6205
 181,      1196,         114,        566,         2285,           1131,          1181,           263,              84,            149,      16290,           84,        6270
 182,      1216,         115,        570,         2298,           1137,          1194,           264,              84,            149,      16471,           84,        6364
 183,      1236,         116,        581,         2313,           1144,          1199,           265,              84,            149,      16653,           84,        6428
 184,      1232,         115,        578,         2329,           1152,          1208,           267,              85,            149,      16836,           85,        6514
 185,      1244,         116,        578,         2347,           1163,          1221,           269,              86,            152,      17020,           86,        6543
 186,      1239,         115,        578,         2360,           1170,          1219,           272,              88,            154,      17205,           88,        6653
 187,      1270,         119,        595,         2380,           1175,          1235,           274,              89,            154,      17391,           89,        6691
 188,      1294,         123,        606,         2393,           1188,          1251,           275,              89,            154,      17578,           89,        6742
 189,      1305,         124,        609,         2410,           1194,          1251,           276,              89,            160,      17766,           89,        6801
 190,      1270,         122,        608,         2428,           1204,          1267,           277,              89,            155,      17955,           89,        6852
 191,      1293,         119,        607,         2441,           1209,          1266,           279,              90,            158,      18145,           90,        6977
 192,      1287,         117,        599,         2454,           1214,          1270,           282,              92,            159,      18336,           92,        7149
 193,      1293,         119,        602,         2471,           1222,          1281,           286,              95,            162,      18528,           95,        7333
 194,      1336,         122,        621,         2487,           1231,          1289,           291,              99,            166,      18721,           99,        7189
 195,      1332,         125,        626,         2503,           1237,          1296,           292,              99,            165,      18915,           99,        7302
 196,      1328,         124,        622,         2515,           1245,          1304,           293,              99,            166,      19110,           99,        7381
 197,      1328,         123,        618,         2533,           1250,          1321,           294,              99,            167,      19306,           99,        7403
 198,      1334,         127,        631,         2546,           1260,          1322,           295,              99,            168,      19503,           99,        7496
 199,      1344,         123,        622,         2565,           1267,          1333,           296,              99,            169,      19701,           99,        7563
 200,      1351,         124,        624,         2580,           1274,          1335,           297,              99,            166,      19900,           99,        7704
 201,      1360,         124,        633,         2589,           1277,          1340,           298,              99,            169,      20100,           99,        7692
 202,      1366,         128,        633,         2607,           1287,          1360,           300,             100,            170,      20301,          100,        7810
 203,      1369,         128,        641,         2625,           1295,          1362,           301,             100,            169,      20503,          100,        7909
 204,      1378,         128,        643,         2640,           1307,          1368,           302,             100,            171,      20706,          100,        8015
 205,      1411,         131,        653,         2656,           1311,          1373,           303,             100,            173,      20910,          100,        8071
 206,      1412,         130,        669,         2672,           1324,          1392,           305,             101,            172,      21115,          101,        8087
 207,      1400,         125,        650,         2689,           1329,          1391,           306,             101,            202,      21321,          101,        8292
 208,      1415,         129,        658,         2705,           1343,          1417,           309,             103,            179,      21528,          103,        8317
 209,      1429,         133,        666,         2722,           1347,          1409,           310,             103,            174,      21736,          103,        8351
 210,      1436,         130,        666,         2736,           1356,          1418,           311,             103,            176,      21945,          103,        8420
 211,      1442,         134,        675,         2752,           1361,          1419,           312,             103,            179,      22155,          103,        8609
 212,      1449,         135,        671,         2766,           1369,          1434,           313,             103,            178,      22366,          103,        8571
 213,      1463,         128,        690,         2781,           1373,          1455,           314,             103,            177,      22578,          103,        8712
 214,      1476,         130,        684,         2796,           1385,          1471,           315,             103,            179,      22791,          103,        8790
 215,      1476,         139,        692,         2815,           1393,          1460,           316,             103,            177,      23005,          103,        8823
 216,      1497,         139,        697,         2825,           1397,          1463,           317,             103,            180,      23220,          103,        8916
 217,      1500,         132,        693,         2840,           1406,          1475,           318,             103,            180,      23436,          103,        8975
 218,      1504,         132,        698,         2857,           1411,          1528,           320,             104,            180,      23653,          104,        9108
 219,      1506,         142,        699,         2876,           1425,          1493,           321,             104,            180,      23871,          104,        9119
 220,      1512,         142,        701,         2892,           1434,          1503,           322,             104,            180,      24090,          104,        9369
 221,      1519,         142,        710,         2908,           1439,          1528,           323,             104,            182,      24310,          104,        9341
 222,      1523,         142,        707,         2921,           1447,          1515,           326,             106,            183,      24531,          106,        9390
 223,      1523,         140,        701,         2939,           1456,          1548,           327,             106,            183,      24753,          106,        9462
 224,      1527,         137,        719,         2952,           1463,          1571,           328,             106,            191,      24976,          106,        9969
 225,      1550,         143,        728,         2966,           1470,          1542,           330,             107,            187,      25200,          107,        9716
 226,      1562,         140,        752,         2985,           1478,          1559,           331,             107,            185,      25425,          107,        9757
 227,      1573,         141,        731,         3002,           1488,          1624,           332,             107,            187,      25651,          107,        9785
 228,      1579,         139,        725,         3016,           1494,          1562,           333,             107,            188,      25878,          107,        9967
 229,      1600,         145,        738,         3035,           1503,          1574,           334,             107,            189,      26106,          107,       10001
 230,      1619,         151,        753,         3047,           1511,          1579,           336,             108,            189,      26335,          108,       10073
 231,      1606,         143,        743,         3064,           1516,          1590,           339,             110,            192,      26565,          110,       10185
 232,      1614,         144,        742,         3078,           1521,          1595,           342,             112,            192,      26796,          112,       10380
 233,      1625,         153,        794,         3095,           1532,          1675,           343,             112,            201,      27028,          112,       10789
 234,      1639,         153,        777,         3109,           1538,          1615,           344,             112,            195,      27261,          112,       10581
 235,      1646,         150,        767,         3126,           1548,          1631,           345,             112,            196,      27495,          112,       10564
 236,      1660,         151,        771,         3140,           1557,          1635,           346,             112,            196,      27730,          112,       10633
 237,      1668,         149,        768,         3155,           1557,          1631,           347,             112,            194,      27966,          112,       10715
 238,      1656,         151,        765,         3172,           1574,          1645,           349,             113,            197,      28203,          113,       10818
 239,      1681,         149,        776,         3188,           1580,          1652,           350,             113,            197,      28441,          113,       10891
 240,      1690,         153,        779,         3203,           1583,          1651,           351,             113,            196,      28680,          113,       11014
 241,      1718,         153,        817,         3218,           1586,          1680,           353,             114,            200,      28920,          114,       11116
 242,      1704,         153,        784,         3233,           1595,          1670,           356,             116,            197,      29161,          116,       11168
 243,      1713,         153,        787,         3249,           1613,          1686,           357,             116,            199,      29403,          116,       11245
 244,      1717,         154,        792,         3264,           1621,          1690,           358,             116,            205,      29646,          116,       11364
 245,      1730,         161,        817,         3285,           1630,          1733,           359,             116,            205,      29890,          116,       11373
 246,      1744,         155,        823,         3295,           1632,          1724,           361,             117,            203,      30135,          117,       11587
 247,      1735,         151,        793,         3310,           1638,          1717,           363,             118,            203,      30381,          118,       11636
 248,      1764,         149,        805,         3323,           1649,          1730,           365,             119,            205,      30628,          119,       11724
 249,      1772,         151,        811,         3341,           1654,          1730,           366,             119,            207,      30876,          119,       11813
 250,      1779,         153,        811,         3356,           1666,          1759,           367,             119,            206,      31125,          119,       11883
 251,      1803,         166,        841,         3368,           1668,          1744,           369,             120,            206,      31375,          120,       12027
 252,      1808,         164,        843,         3386,           1671,          1765,           370,             120,            208,      31626,          120,       12123
