  n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  0,         0,           0,          1,            0,              0,             3,             0,               0,              0,          0,            0,           0
  1,         0,           0,          1,            0,              0,             2,             0,               0,              0,          0,            0,           0
  2,         2,           1,          4,            1,              1,             3,             1,               0,              2,          1,            0,           1
  3,         3,           1,          3,            3,              2,             5,             2,               0,              0,          3,            0,           2
  4,         5,           2,          5,            6,              4,             8,             4,               1,              3,          6,            1,           5
  5,        10,           2,          8,           11,              5,             9,             5,               1,              3,         10,            1,           5
  6,        11,           3,          9,           15,              7,            12,             9,               4,              7,         15,            4,          10
  7,        15,           4,         11,           20,              7,            14,            12,               6,              9,         21,            6,          14
  8,        21,           4,         15,           26,             12,            17,            13,               6,             10,         28,            6,          17
  9,        25,           5,         16,           34,             15,            22,            14,               6,             10,         36,            6,          20
 10,        29,           6,         18,           40,             19,            25,            16,               7,             10,         45,            7,          23
 11,        36,           6,         21,           47,             21,            27,            18,               8,             12,         55,            8,          26
 12,        40,           7,         24,           54,             26,            31,            19,               8,             12,         66,            8,          31
 13,        41,           8,         25,           62,             29,            38,            20,               8,             13,         78,            8,          38
 14,        46,           9,         30,           67,             32,            42,            21,               8,             14,         91,            8,          43
 15,        49,           8,         28,           75,             36,            44,            22,               8,             14,        105,            8,          49
 16,        53,           9,         33,           84,             41,            51,            23,               8,             15,        120,            8,          59
 17,        62,          10,         37,           94,             46,            58,            24,               8,             15,        136,            8,          63
 18,        62,          11,         37,          102,             51,            62,            25,               8,             15,        153,            8,          70
 19,        65,          10,         37,          112,             53,            65,            27,               9,             17,        171,            9,          79
 20,        74,          12,         44,          121,             62,            75,            28,               9,             17,        190,            9,          85
 21,        79,          13,         47,          131,             65,            78,            29,               9,             18,        210,            9,          95
 22,        85,          14,         51,          138,             68,            82,            30,               9,             18,        231,            9,         104
 23,        90,          15,         54,          148,             71,            87,            31,               9,             20,        253,            9,         112
 24,        94,          15,         56,          157,             76,            95,            32,               9,             19,        276,            9,         123
 25,        97,          15,         57,          166,             81,            97,            33,               9,             20,        300,            9,         133
 26,       102,          14,         58,          176,             84,           102,            34,               9,             20,        325,            9,         142
 27,       104,          16,         60,          184,             89,           106,            35,               9,             20,        351,            9,         154
 28,       108,          17,         64,          193,             95,           155,            37,              10,             28,        378,           10,         169
 29,       115,          18,         75,          203,             99,           119,            39,              11,             23,        406,           11,         177
 30,       128,          21,         77,          211,            104,           122,            40,              11,             24,        435,           11,         186
 31,       126,          18,         72,          221,            107,           128,            41,              11,             24,        465,           11,         199
 32,       131,          19,         76,          229,            113,           133,            42,              11,             25,        496,           11,         211
 33,       137,          20,         77,          241,            120,           138,            43,              11,             25,        528,           11,         223
 34,       141,          20,         80,          254,            126,           146,            44,              11,             25,        561,           11,         239
 35,       150,          22,         85,          266,            130,           151,            46,              12,             27,        595,           12,         254
 36,       154,          21,         87,          277,            137,           159,            48,              13,             28,        630,           13,         267
 37,       164,          22,         92,          289,            141,           164,            50,              14,             30,        666,           14,         282
 38,       170,          23,         94,          298,            146,           169,            55,              18,             33,        703,           18,         299
 39,       169,          22,         93,          310,            153,           177,            56,              18,             35,        741,           18,         314
 40,       173,          24,         97,          319,            158,           183,            57,              18,             34,        780,           18,         330
 41,       183,          26,        103,          331,            161,           187,            58,              18,             35,        820,           18,         345
 42,       192,          26,        108,          344,            172,           195,            59,              18,             34,        861,           18,         348
 43,       196,          27,        108,          355,            176,           198,            61,              19,             36,        903,           19,         368
 44,       202,          28,        113,          365,            178,           202,            63,              20,             36,        946,           20,         385
 45,       219,          31,        122,          377,            184,           209,            65,              21,             37,        990,           21,         410
 46,       223,          29,        122,          388,            191,           217,            66,              21,             40,       1035,           21,         433
 47,       223,          29,        120,          400,            198,           225,            67,              21,             40,       1081,           21,         451
 48,       225,          29,        123,          411,            203,           232,            68,              21,             41,       1128,           21,         473
 49,       232,          28,        125,          423,            207,           238,            69,              21,             41,       1176,           21,         492
 50,       238,          31,        132,          434,            213,           245,            71,              22,             41,       1225,           22,         511
 51,       244,          31,        133,          446,            221,           252,            72,              22,             42,       1275,           22,         530
 52,       250,          31,        135,          456,            226,           256,            73,              22,             42,       1326,           22,         550
 53,       248,          33,        137,          470,            232,           264,            75,              23,             43,       1378,           23,         579
 54,       265,          34,        145,          481,            238,           270,            77,              24,             47,       1431,           24,         598
 55,       279,          34,        152,          491,            245,           277,            78,              24,             45,       1485,           24,         620
 56,       275,          31,        148,          502,            246,           282,            80,              25,             49,       1540,           25,         621
 57,       283,          36,        143,          512,            253,           267,            81,              25,             46,       1596,           25,         636
 58,       291,          35,        149,          523,            263,           326,            82,              25,             55,       1653,           25,         672
 59,       304,          38,        163,          535,            267,           290,            83,              25,             47,       1711,           25,         693
 60,       311,          39,        165,          545,            273,           300,            85,              26,             50,       1770,           26,         705
 61,       315,          41,        165,          558,            279,           302,            86,              26,             49,       1830,           26,         749
 62,       320,          42,        174,          567,            285,           319,            87,              26,             52,       1891,           26,         781
 63,       316,          38,        167,          580,            290,           327,            88,              26,             52,       1953,           26,         806
 64,       323,          39,        171,          590,            292,           333,            89,              26,             52,       2016,           26,         833
 65,       334,          40,        180,          602,            295,           339,            90,              26,             54,       2080,           26,         856
 66,       336,          39,        178,          617,            307,           347,            91,              26,             53,       2145,           26,         879
 67,       352,          40,        188,          635,            315,           357,            92,              26,             52,       2211,           26,         901
 68,       360,          40,        187,          647,            324,           365,            94,              27,             54,       2278,           27,         928
 69,       355,          41,        188,          662,            331,           371,            97,              29,             58,       2346,           29,         959
 70,       365,          42,        193,          675,            337,           368,           100,              31,             58,       2415,           31,         967
 71,       379,          43,        200,          685,            338,           379,           101,              31,             60,       2485,           31,        1012
 72,       384,          44,        206,          696,            345,           390,           102,              31,             60,       2556,           31,        1040
 73,       386,          44,        201,          712,            351,           391,           104,              32,             59,       2628,           32,        1037
 74,       391,          45,        197,          725,            359,           400,           106,              33,             63,       2701,           33,        1077
 75,       409,          44,        208,          738,            362,           402,           107,              33,             61,       2775,           33,        1115
 76,       419,          44,        211,          752,            373,           408,           108,              33,             61,       2850,           33,        1131
 77,       419,          49,        221,          763,            378,           417,           109,              33,             61,       2926,           33,        1201
 78,       430,          49,        227,          779,            386,           426,           111,              34,             64,       3003,           34,        1194
 79,       436,          47,        222,          792,            391,           432,           112,              34,             66,       3081,           34,        1249
 80,       438,          47,        228,          809,            398,           451,           113,              34,             66,       3160,           34,        1283
 81,       442,          50,        231,          820,            403,           458,           114,              34,             65,       3240,           34,        1323
 82,       446,          51,        235,          832,            414,           465,           115,              34,             66,       3321,           34,        1358
