 n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 0,         0,           0,          0,            0,              0,             2,             0,               0,              0,          0,            0,           0
 1,         0,           0,          0,            0,              0,             3,             0,               0,              0,          0,            0,           0
 2,         2,           1,          4,            1,              1,             3,             1,               0,              0,          1,            0,           2
 3,         3,           1,          4,            3,              2,             4,             2,               0,              2,          3,            0,           2
 4,         5,           2,          5,            7,              5,             8,             3,               0,              1,          6,            0,           4
 5,         9,           3,          9,           12,              6,            10,             4,               0,              3,         10,            0,           6
 6,        12,           4,         12,           16,              7,            13,             6,               1,              3,         15,            1,           9
 7,        13,           4,         10,           20,              9,            15,            10,               4,              7,         21,            4,          13
 8,        19,           5,         14,           26,             14,            20,            11,               4,              8,         28,            4,          16
 9,        26,           5,         18,           34,             17,            25,            12,               4,              9,         36,            4,          20
10,        29,           6,         19,           40,             21,            29,            13,               4,              8,         45,            4,          23
