    n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time
    0,         0,           0,          1,            0,              0,             4
    1,         0,           0,          0,            0,              0,             3
    2,         2,           0,          7,            1,              0,             3
    3,         3,           0,          4,            3,              0,             3
    4,         5,           0,          5,            6,              0,             5
    5,         9,           0,          6,           10,              0,             7
    6,        18,           0,         11,           16,              0,            10
    7,        19,           0,         13,           21,              0,            14
    8,        26,           0,         17,           25,              0,            15
    9,        32,           0,         19,           31,              0,            18
   10,        36,           0,         20,           39,              0,            23
   11,        40,           0,         25,           47,              0,            25
   12,        46,           0,         26,           53,              0,            27
   13,        55,           0,         28,           59,              0,            31
   14,        67,           0,         35,           63,              0,            33
   15,        71,           0,         37,           68,              0,            36
   16,        70,           0,         36,           80,              0,            41
   17,        76,           0,         41,           90,              0,            46
   18,        77,           0,         40,           97,              0,            48
   19,        88,           0,         46,          103,              0,            51
   20,        99,           0,         52,          111,              0,            56
   21,       115,           0,         57,          119,              0,            59
   22,       119,           0,         59,          129,              0,            65
   23,       124,           0,         68,          139,              0,            69
   24,       134,           0,         71,          148,              0,            75
   25,       133,           0,         69,          157,              0,            77
   26,       148,           0,         76,          168,              0,            82
   27,       152,           0,         77,          176,              0,            86
   28,       171,           0,         87,          185,              0,            88
   29,       167,           0,         83,          191,              0,            92
   30,       173,           0,         89,          198,              0,            95
   31,       194,           0,         94,          207,              0,            98
   32,       182,           0,         92,          218,              0,           104
   33,       199,           0,         99,          229,              0,           106
   34,       230,           0,        111,          243,              0,           114
   35,       213,           0,        106,          253,              0,           117
   36,       213,           0,        108,          258,              0,           122
   37,       201,           0,        102,          272,              0,           128
   38,       226,           0,        113,          282,              0,           132
   39,       247,           0,        120,          291,              0,           135
   40,       257,           0,        126,          302,              0,           143
   41,       245,           0,        122,          314,              0,           145
   42,       263,           0,        147,          320,              0,           154
   43,       305,           0,        148,          334,              0,           160
   44,       312,           0,        149,          348,              0,           165
   45,       310,           0,        154,          360,              0,           164
   46,       328,           0,        157,          372,              0,           171
   47,       320,           0,        156,          379,              0,           180
   48,       314,           0,        160,          386,              0,           177
   49,       347,           0,        169,          397,              0,           187
   50,       344,           0,        170,          410,              0,           191
   51,       341,           0,        168,          418,              0,           195
   52,       375,           0,        184,          431,              0,           200
   53,       360,           0,        185,          440,              0,           245
   54,       416,           0,        214,          450,              0,           214
   55,       412,           0,        200,          460,              0,           215
   56,       410,           0,        200,          473,              0,           219
   57,       461,           0,        219,          484,              0,           225
   58,       459,           0,        226,          494,              0,           230
   59,       422,           0,        211,          509,              0,           237
   60,       430,           0,        214,          525,              0,           242
   61,       452,           0,        226,          535,              0,           246
   62,       502,           0,        231,          544,              0,           240
   63,       468,           0,        226,          558,              0,           255
   64,       511,           0,        243,          574,              0,           253
   65,       511,           0,        241,          578,              0,           260
   66,       482,           0,        232,          591,              0,           261
   67,       530,           0,        248,          602,              0,           267
   68,       508,           0,        246,          616,              0,           274
   69,       528,           0,        252,          628,              0,           283
   70,       538,           0,        259,          646,              0,           294
   71,       574,           0,        273,          651,              0,           292
   72,       600,           0,        285,          666,              0,           298
   73,       579,           0,        276,          682,              0,           306
   74,       600,           0,        288,          692,              0,           328
   75,       567,           0,        281,          696,              0,           331
   76,       619,           0,        291,          709,              0,           323
   77,       696,           0,        326,          718,              0,           320
   78,       752,           0,        341,          735,              0,           329
   79,       641,           0,        310,          750,              0,           348
   80,       644,           0,        319,          761,              0,           352
   81,       646,           0,        320,          773,              0,           392
   82,       664,           0,        340,          783,              0,           362
   83,       730,           0,        349,          796,              0,           371
   84,       773,           0,        348,          808,              0,           354
   85,       811,           0,        368,          823,              0,           391
   86,       784,           0,        375,          832,              0,           381
   87,       713,           0,        337,          852,              0,           374
   88,       702,           0,        330,          869,              0,           390
   89,       798,           0,        364,          879,              0,           391
   90,       804,           0,        365,          890,              0,           390
   91,       782,           0,        360,          901,              0,           393
   92,       794,           0,        367,          919,              0,           405
   93,       813,           0,        374,          922,              0,           409
   94,       862,           0,        390,          933,              0,           406
   95,       785,           0,        381,          945,              0,           417
   96,       859,           0,        409,          971,              0,           424
