   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
   0,         0,           0,          1,            0,              0,             3,             0,               0,              0,          0,            0,           0
   1,         0,           0,          1,            0,              0,             2,             0,               0,              0,          0,            0,           0
   2,         2,           1,          5,            1,              1,             4,             1,               0,              0,          1,            0,           1
   3,         4,           2,          5,            3,              1,             4,             3,               1,              2,          3,            1,           3
   4,         8,           2,          6,            7,              4,             6,             4,               1,              3,          6,            1,           5
   5,        10,           3,          9,           12,              6,            10,             8,               4,              7,         10,            4,           7
   6,        15,           3,         10,           16,              7,            11,            11,               6,              7,         15,            6,          10
   7,        20,           4,         14,           19,              8,            14,            16,              10,             13,         21,           10,          15
   8,        24,           4,         15,           27,             12,            18,            20,              13,             15,         28,           13,          18
   9,        30,           4,         16,           35,             16,            21,            26,              18,             20,         36,           18,          23
  10,        34,           6,         20,           41,             20,            26,            28,              19,             20,         45,           19,          27
  11,        36,           6,         21,           48,             22,            29,            30,              20,             21,         55,           20,          36
  12,        40,           7,         24,           57,             27,            34,            33,              22,             24,         66,           22,          36
  13,        52,           8,         29,           65,             30,            37,            34,              22,             25,         78,           22,          41
  14,        62,           9,         32,           69,             32,            40,            42,              29,             30,         91,           29,          50
  15,        54,           9,         33,           73,             35,            42,            51,              37,             38,        105,           37,          62
  16,        61,           9,         36,           82,             38,            49,            62,              47,             49,        120,           47,          75
  17,        76,          10,         42,           87,             40,            53,            78,              62,             62,        136,           62,          84
  18,        84,          10,         47,           97,             45,            57,            91,              74,             74,        153,           74,         100
  19,        92,          10,         52,          105,             48,            61,            96,              78,             76,        171,           78,         107
  20,        99,          11,         53,          109,             50,            62,           110,              91,             89,        190,           91,         120
  21,       107,          12,         59,          119,             58,            71,           128,             108,            108,        210,          108,         144
  22,       116,          12,         62,          127,             63,            77,           131,             110,            110,        231,          110,         149
  23,       117,          14,         66,          137,             64,            79,           132,             110,            111,        253,          110,         157
  24,       121,          14,         68,          151,             72,            88,           154,             131,            131,        276,          131,         181
  25,       142,          15,         77,          162,             76,            93,           176,             152,            149,        300,          152,         197
  26,       154,          15,         77,          170,             77,            93,           189,             164,            149,        325,          164,         200
  27,       143,          17,         78,          177,             79,           101,           213,             187,            180,        351,          187,         221
  28,       160,          19,         84,          188,             87,            99,           235,             208,            195,        378,          208,         239
  29,       156,          18,         82,          199,             90,           103,           250,             222,            200,        406,          222,         256
  30,       155,          18,         81,          205,             92,           107,           266,             237,            211,        435,          237,         275
  31,       187,          20,         93,          214,             93,           112,           275,             245,            220,        465,          245,         288
  32,       255,          25,        123,          225,            100,           121,           286,             255,            227,        496,          255,         304
  33,       310,          27,        143,          232,            106,           121,           312,             280,            251,        528,          280,         327
  34,       223,          20,        111,          240,            108,           126,           342,             309,            277,        561,          309,         352
  35,       201,          21,        102,          251,            109,           128,           373,             339,            302,        595,          339,         385
  36,       215,          23,        111,          260,            117,           137,           385,             350,            309,        630,          350,         396
  37,       236,          21,        116,          269,            124,           140,           414,             378,            335,        666,          378,         422
  38,       237,          23,        121,          283,            123,           151,           437,             400,            369,        703,          400,         497
  39,       239,          24,        124,          295,            135,           157,           457,             419,            374,        741,          419,         470
  40,       253,          24,        128,          300,            138,           157,           482,             443,            413,        780,          443,         522
  41,       264,          23,        139,          306,            141,           173,           513,             473,            440,        820,          473,         544
  42,       269,          26,        135,          320,            149,           166,           535,             494,            450,        861,          494,         545
  43,       290,          25,        141,          335,            157,           175,           573,             531,            464,        903,          531,         587
  44,       298,          25,        148,          335,            152,           172,           580,             537,            468,        946,          537,         604
  45,       342,          26,        159,          349,            156,           179,           618,             574,            500,        990,          574,         635
  46,       361,          28,        170,          360,            164,           186,           622,             577,            507,       1035,          577,         651
  47,       358,          29,        179,          376,            170,           194,           656,             610,            535,       1081,          610,         684
  48,       347,          29,        167,          391,            178,           200,           692,             645,            562,       1128,          645,         720
  49,       349,          29,        169,          404,            186,           206,           720,             672,            591,       1176,          672,         751
  50,       376,          28,        180,          413,            193,           214,           735,             686,            607,       1225,          686,         792
  51,       345,          31,        174,          429,            196,           226,           776,             726,            715,       1275,          726,         857
  52,       368,          31,        195,          437,            205,           236,           789,             738,            651,       1326,          738,         838
  53,       388,          33,        188,          452,            213,           232,           791,             739,            656,       1378,          739,         867
  54,       395,          36,        195,          471,            222,           253,           832,             779,            694,       1431,          779,         895
  55,       393,          37,        203,          475,            223,           245,           863,             809,            708,       1485,          809,         926
  56,       399,          34,        190,          484,            228,           252,           882,             827,            722,       1540,          827,         957
  57,       441,          35,        209,          487,            224,           251,           896,             840,            736,       1596,          840,         982
  58,       452,          34,        211,          508,            236,           260,           906,             849,            752,       1653,          849,        1020
  59,       430,          37,        209,          518,            241,           265,           947,             889,            777,       1711,          889,        1044
  60,       467,          37,        221,          526,            246,           271,           960,             901,            799,       1770,          901,        1073
  61,       465,          39,        227,          537,            253,           275,          1020,             961,            839,       1830,          961,        1127
  62,       480,          37,        224,          542,            249,           277,          1042,             982,            860,       1891,          982,        1177
  63,       484,          38,        231,          542,            247,           276,          1058,             997,            874,       1953,          997,        1181
  64,       486,          41,        236,          558,            257,           288,          1060,             998,            876,       2016,          998,        1225
  65,       493,          40,        235,          574,            263,           294,          1094,            1031,            916,       2080,         1031,        1242
  66,       494,          40,        240,          590,            271,           304,          1104,            1040,            908,       2145,         1040,        1279
  67,       548,          43,        260,          606,            283,           309,          1130,            1065,            927,       2211,         1065,        1315
  68,       542,          45,        258,          617,            286,           314,          1183,            1117,            978,       2278,         1117,        1366
  69,       547,          42,        261,          629,            289,           320,          1184,            1117,            976,       2346,         1117,        1392
  70,       559,          43,        267,          637,            294,           326,          1225,            1157,           1027,       2415,         1157,        1437
  71,       549,          41,        259,          652,            302,           335,          1255,            1186,           1034,       2485,         1186,        1463
  72,       534,          43,        259,          665,            304,           337,          1305,            1235,           1075,       2556,         1235,        1531
  73,       589,          49,        285,          682,            316,           360,          1375,            1304,           1136,       2628,         1304,        1576
  74,       573,          51,        276,          693,            323,           356,          1406,            1334,           1166,       2701,         1334,        1616
  75,       561,          46,        272,          706,            334,           388,          1471,            1398,           1222,       2775,         1398,        1667
  76,       588,          46,        283,          716,            334,           363,          1539,            1465,           1276,       2850,         1465,        1735
  77,       624,          46,        297,          728,            341,           370,          1570,            1495,           1300,       2926,         1495,        1777
  78,       621,          50,        295,          749,            353,           385,          1608,            1532,           1337,       3003,         1532,        1820
  79,       611,          48,        293,          755,            351,           383,          1650,            1573,           1387,       3081,         1573,        1940
  80,       625,          53,        306,          758,            350,           385,          1707,            1629,           1433,       3160,         1629,        1936
