  n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  0,         0,           0,          0,            0,              0,             2,             0,               0,              0,          0,            0,           1
  1,         0,           0,          0,            0,              0,             2,             0,               0,              0,          0,            0,           0
  2,         1,           1,          3,            1,              0,             3,             1,               1,              2,          1,            1,           1
  3,         4,           2,          5,            3,              1,             4,             2,               1,              2,          3,            1,           2
  4,         8,           3,          7,            6,              3,             6,             4,               2,              4,          6,            2,           4
  5,        11,           3,         10,           11,              6,            10,             5,               2,              4,         10,            2,           6
  6,        15,           3,         10,           15,              7,            13,            10,               6,              7,         15,            6,          10
  7,        18,           4,         14,           19,              8,            14,            13,               8,             10,         21,            8,          15
  8,        24,           4,         15,           27,             12,            19,            20,              15,             18,         28,           15,          20
  9,        34,           5,         21,           33,             12,            20,            26,              20,             23,         36,           20,          26
 10,        37,           7,         22,           37,             14,            23,            34,              27,             26,         45,           27,          31
 11,        39,           7,         23,           46,             18,            25,            40,              32,             30,         55,           32,          37
 12,        46,           7,         26,           51,             22,            30,            44,              35,             35,         66,           35,          43
 13,        55,          10,         33,           56,             23,            31,            55,              45,             42,         78,           45,          53
 14,        58,           9,         32,           61,             25,            34,            59,              48,             47,         91,           48,          61
 15,        70,          10,         41,           68,             29,            41,            67,              55,             56,        105,           55,          72
 16,        76,          10,         42,           80,             38,            49,            70,              57,             57,        120,           57,          79
 17,        69,          12,         43,           90,             39,            52,            83,              69,             70,        136,           69,          91
 18,        79,          12,         48,           99,             44,            58,            92,              77,             77,        153,           77,          99
 19,        86,          11,         48,          106,             47,            60,            95,              79,             77,        171,           79,         107
 20,        94,          12,         55,          116,             53,            69,           114,              98,             97,        190,           98,         128
 21,        97,          13,         57,          124,             54,            73,           133,             116,            116,        210,          116,         142
 22,       102,          15,         61,          127,             55,            73,           154,             136,            133,        231,          136,         162
 23,       122,          14,         71,          137,             59,            78,           168,             149,            145,        253,          149,         176
 24,       121,          15,         70,          145,             65,            82,           182,             162,            157,        276,          162,         194
 25,       141,          15,         77,          154,             69,            88,           198,             177,            164,        300,          177,         201
 26,       144,          18,         77,          164,             76,            92,           211,             189,            182,        325,          189,         226
 27,       150,          16,         83,          170,             76,            97,           235,             212,            202,        351,          212,         236
 28,       152,          17,         81,          179,             80,            97,           241,             217,            202,        378,          217,         250
 29,       169,          17,         89,          186,             81,           102,           248,             223,            208,        406,          223,         262
 30,       183,          18,         96,          194,             86,           106,           255,             229,            212,        435,          229,         277
 31,       190,          19,         97,          202,             91,           110,           268,             241,            222,        465,          241,         293
 32,       213,          17,        108,          217,             99,           122,           280,             252,            241,        496,          252,         325
 33,       186,          23,        101,          226,            104,           123,           293,             264,            244,        528,          264,         330
 34,       226,          23,        117,          242,            110,           132,           321,             291,            271,        561,          291,         367
 35,       214,          22,        115,          253,            114,           141,           329,             298,            284,        595,          298,         385
 36,       213,          23,        118,          260,            118,           146,           357,             325,            310,        630,          325,         412
 37,       236,          24,        128,          268,            121,           149,           386,             353,            339,        666,          353,         456
 38,       260,          23,        135,          275,            122,           153,           415,             381,            354,        703,          381,         452
 39,       284,          23,        142,          288,            130,           155,           419,             384,            359,        741,          384,         475
 40,       284,          26,        144,          301,            134,           162,           458,             423,            397,        780,          423,         514
 41,       273,          25,        142,          310,            138,           169,           486,             450,            426,        820,          450,         544
 42,       276,          28,        143,          320,            142,           174,           508,             471,            451,        861,          471,         583
 43,       301,          27,        154,          335,            152,           185,           538,             500,            472,        903,          500,         595
 44,       296,          27,        155,          347,            160,           186,           544,             505,            471,        946,          505,         622
 45,       331,          34,        175,          357,            168,           198,           558,             518,            490,        990,          518,         633
 46,       298,          29,        154,          365,            168,           197,           580,             539,            497,       1035,          539,         666
 47,       317,          30,        168,          375,            172,           205,           610,             568,            541,       1081,          568,         696
 48,       320,          32,        166,          389,            181,           213,           635,             592,            550,       1128,          592,         746
 49,       320,          31,        172,          400,            185,           224,           677,             633,            633,       1176,          633,         777
 50,       359,          34,        200,          409,            192,           232,           716,             671,            629,       1225,          671,         817
 51,       348,          33,        189,          417,            194,           235,           726,             680,            636,       1275,          680,         838
 52,       343,          32,        182,          432,            203,           242,           729,             682,            635,       1326,          682,         858
 53,       369,          31,        193,          443,            212,           250,           748,             700,            653,       1378,          700,         885
 54,       386,          33,        200,          454,            214,           254,           800,             751,            701,       1431,          751,         964
 55,       398,          37,        233,          462,            218,           264,           848,             798,            741,       1485,          798,         956
 56,       398,          31,        201,          472,            222,           257,           884,             833,            777,       1540,          833,        1014
 57,       411,          35,        215,          479,            220,           266,           908,             856,            792,       1596,          856,        1023
 58,       411,          35,        207,          497,            233,           277,           949,             896,            834,       1653,          896,        1074
 59,       417,          37,        221,          514,            237,           283,          1007,             953,            882,       1711,          953,        1101
 60,       433,          36,        219,          521,            246,           289,          1018,             963,            885,       1770,          963,        1173
 61,       442,          37,        228,          534,            249,           295,          1067,            1011,            956,       1830,         1011,        1214
 62,       494,          44,        257,          543,            252,           300,          1098,            1041,            967,       1891,         1041,        1252
 63,       463,          39,        240,          553,            257,           307,          1105,            1047,            961,       1953,         1047,        1276
 64,       483,          42,        250,          559,            259,           307,          1129,            1070,            987,       2016,         1070,        1303
 65,       485,          38,        249,          578,            267,           311,          1139,            1079,           1002,       2080,         1079,        1324
 66,       496,          39,        246,          588,            270,           311,          1190,            1129,           1045,       2145,         1129,        1380
 67,       580,          41,        283,          594,            276,           324,          1252,            1190,           1096,       2211,         1190,        1454
 68,       569,          44,        278,          617,            290,           343,          1318,            1255,           1187,       2278,         1255,        1522
 69,       583,          44,        293,          628,            292,           348,          1382,            1318,           1237,       2346,         1318,        1590
