 n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 0,         0,           0,          0,            0,              0,             3,             0,               0,              0,          0,            0,           0
 1,         0,           0,          0,            0,              0,             3,             0,               0,              0,          0,            0,           0
 2,         2,           0,          3,            1,              1,             3,             1,               0,              0,          1,            0,           0
 3,         3,           0,          3,            3,              2,             5,             2,               0,              0,          3,            0,           2
 4,         5,           0,          4,            6,              4,             6,             4,               1,              3,          6,            1,           5
 5,        11,           1,          9,           10,              5,             9,             8,               5,              5,         10,            5,           8
 6,        16,           1,         10,           16,              8,            11,            13,               9,             10,         15,            9,          11
 7,        20,           2,         14,           21,             10,            14,            15,              10,             10,         21,           10,          13
 8,        25,           2,         15,           27,             14,            17,            17,              11,             12,         28,           11,          17
 9,        33,           3,         18,           34,             17,            21,            20,              13,             14,         36,           13,          21
10,        44,           2,         25,           40,             20,            25,            21,              13,             15,         45,           13,          26
